common_name,scientific_name,status,order,family,region
White-faced Whistling-Duck,Dendrocygna viduata,Rare/Accidental,ANSERIFORMES,Anatidae,nan
Black-bellied Whistling-Duck,Dendrocygna autumnalis,,ANSERIFORMES,Anatidae,nan
West Indian Whistling-Duck,Dendrocygna arborea,Near-threatened,ANSERIFORMES,Anatidae,nan
Fulvous Whistling-Duck,Dendrocygna bicolor,Rare/Accidental,ANSERIFORMES,Anatidae,nan
Greater White-fronted Goose,Anser albifrons,,ANSERIFORMES,Anatidae,nan
Comb Duck,Sarkidiornis sylvicola,,ANSERIFORMES,Anatidae,nan
Orinoco Goose,Oressochen jubatus,Rare/Accidental Near-threatened,ANSERIFORMES,Anatidae,nan
Egyptian Goose,Alopochen aegyptiaca,Rare/Accidental,ANSERIFORMES,Anatidae,nan
Muscovy Duck,Cairina moschata,Introduced species,ANSERIFORMES,Anatidae,nan
Wood Duck,Aix sponsa,Rare/Accidental,ANSERIFORMES,Anatidae,nan
Blue-winged Teal,Spatula discors,,ANSERIFORMES,Anatidae,nan
Cinnamon Teal,Spatula cyanoptera,Rare/Accidental,ANSERIFORMES,Anatidae,nan
Northern Shoveler,Spatula clypeata,,ANSERIFORMES,Anatidae,nan
Gadwall,Mareca strepera,Rare/Accidental,ANSERIFORMES,Anatidae,nan
American Wigeon,Mareca americana,,ANSERIFORMES,Anatidae,nan
Mallard,Anas platyrhynchos,Rare/Accidental,ANSERIFORMES,Anatidae,nan
White-cheeked Pintail,Anas bahamensis,,ANSERIFORMES,Anatidae,nan
Northern Pintail,Anas acuta,Rare/Accidental,ANSERIFORMES,Anatidae,nan
Green-winged Teal,Anas crecca,,ANSERIFORMES,Anatidae,nan
Ring-necked Duck,Aythya collaris,,ANSERIFORMES,Anatidae,nan
Greater Scaup,Aythya marila,Rare/Accidental,ANSERIFORMES,Anatidae,nan
Lesser Scaup,Aythya affinis,,ANSERIFORMES,Anatidae,nan
Bufflehead,Bucephala albeola,Rare/Accidental,ANSERIFORMES,Anatidae,nan
Red-breasted Merganser,Mergus serrator,Rare/Accidental,ANSERIFORMES,Anatidae,nan
Masked Duck,Nomonyx dominicus,,ANSERIFORMES,Anatidae,nan
Ruddy Duck,Oxyura jamaicensis,,ANSERIFORMES,Anatidae,nan
Helmeted Guineafowl,Numida meleagris,Introduced species,GALLIFORMES,Numididae,nan
Crested Bobwhite,Colinus cristatus,,GALLIFORMES,Odontophoridae,nan
Red Junglefowl,Gallus gallus,Introduced species,GALLIFORMES,Phasianidae,nan
Rock Pigeon,Columba livia,Introduced species,COLUMBIFORMES,Columbidae,nan
Scaly-naped Pigeon,Patagioenas squamosa,,COLUMBIFORMES,Columbidae,nan
Bare-eyed Pigeon,Patagioenas corensis,,COLUMBIFORMES,Columbidae,nan
White-crowned Pigeon,Patagioenas leucocephala,Rare/Accidental Near-threatened,COLUMBIFORMES,Columbidae,nan
Eurasian Collared-Dove,Streptopelia decaocto,Introduced species,COLUMBIFORMES,Columbidae,nan
Common Ground Dove,Columbina passerina,,COLUMBIFORMES,Columbidae,nan
Ruddy Ground Dove,Columbina talpacoti,,COLUMBIFORMES,Columbidae,nan
Ruddy Quail-Dove,Geotrygon montana,,COLUMBIFORMES,Columbidae,nan
Bridled Quail-Dove,Geotrygon mystacea,,COLUMBIFORMES,Columbidae,nan
White-tipped Dove,Leptotila verreauxi,,COLUMBIFORMES,Columbidae,nan
White-winged Dove,Zenaida asiatica,Rare/Accidental,COLUMBIFORMES,Columbidae,nan
Zenaida Dove,Zenaida aurita,,COLUMBIFORMES,Columbidae,nan
Eared Dove,Zenaida auriculata,,COLUMBIFORMES,Columbidae,nan
Mourning Dove,Zenaida macroura,Rare/Accidental,COLUMBIFORMES,Columbidae,nan
Guira Cuckoo,Guira guira,Rare/Accidental,CUCULIFORMES,Cuculidae,nan
Greater Ani,Crotophaga major,Rare/Accidental,CUCULIFORMES,Cuculidae,nan
Smooth-billed Ani,Crotophaga ani,Rare/Accidental,CUCULIFORMES,Cuculidae,nan
Groove-billed Ani,Crotophaga sulcirostris,,CUCULIFORMES,Cuculidae,nan
Yellow-billed Cuckoo,Coccyzus americanus,,CUCULIFORMES,Cuculidae,nan
Mangrove Cuckoo,Coccyzus minor,,CUCULIFORMES,Cuculidae,nan
Gray-capped Cuckoo,Coccyzus lansbergi,,CUCULIFORMES,Cuculidae,nan
Lesser Nighthawk,Chordeiles acutipennis,,CAPRIMULGIFORMES,Caprimulgidae,nan
Common Nighthawk,Chordeiles minor,,CAPRIMULGIFORMES,Caprimulgidae,nan
Antillean Nighthawk,Chordeiles gundlachii,,CAPRIMULGIFORMES,Caprimulgidae,nan
Little Nightjar,Setopagis parvula,Rare/Accidental,CAPRIMULGIFORMES,Caprimulgidae,nan
White-tailed Nightjar,Hydropsalis cayennensis,,CAPRIMULGIFORMES,Caprimulgidae,nan
Chuck-will's-widow,Antrostomus carolinensis,Near-threatened,CAPRIMULGIFORMES,Caprimulgidae,nan
Oilbird,Steatornis caripensis,,STEATORNITHIFORMES,Steatornithidae,nan
Black Swift,Cypseloides niger,Rare/Accidental Vulnerable,APODIFORMES,Apodidae,nan
White-collared Swift,Streptoprocne zonaris,,APODIFORMES,Apodidae,nan
Gray-rumped Swift,Chaetura cinereiventris,Rare/Accidental,APODIFORMES,Apodidae,nan
Chimney Swift,Chaetura pelagica,Vulnerable,APODIFORMES,Apodidae,nan
Vaux's Swift,Chaetura vauxi,Rare/Accidental,APODIFORMES,Apodidae,nan
Chapman's Swift,Chaetura chapmani,Rare/Accidental,APODIFORMES,Apodidae,nan
Sick's Swift,Chaetura meridionalis,Rare/Accidental,APODIFORMES,Apodidae,nan
Common Swift,Apus apus,Rare/Accidental,APODIFORMES,Apodidae,nan
Fork-tailed Palm Swift,Tachornis squamata,Rare/Accidental,APODIFORMES,Apodidae,nan
